Arrondissement,Environnement,Transports,Sécurité,Santé,Sports et loisirs,Culture,Enseignement,Commerces,Qualité de vie,Note global
1,"4,50","9,33","5,25","6,50","6,00","8,58","6,17","8,25","6,33","6,58"
10,"2,81","7,71","3,43","6,33","5,51","6,00","5,19","6,27","4,26","4,84"
11,"5,39","8,27","6,02","7,33","6,51","6,89","6,65","7,79","6,95","6,90"
12,"6,89","8,45","6,74","8,10","7,47","6,88","7,25","7,89","7,65","7,56"
13,"5,30","8,19","5,33","7,73","7,22","6,77","6,64","7,77","6,34","6,61"
14,"4,42","7,22","5,11","7,34","6,43","6,46","5,77","7,50","5,77","6,03"
15,"6,05","8,16","6,95","8,07","7,28","6,42","7,01","8,18","7,27","7,27"
16,"7,28","7,22","7,81","7,52","6,63","6,69","8,19","7,00","7,54","7,42"
17,"6,05","7,28","6,89","7,31","6,46","6,86","7,08","7,65","7,48","7,21"
18,"3,52","7,18","3,92","6,13","5,51","5,95","5,10","6,72","4,82","5,16"
19,"5,38","7,38","4,51","6,89","6,88","6,95","5,53","6,70","5,96","6,12"
2,"2,83","8,06","6,00","7,00","4,56","7,83","5,28","8,11","5,44","5,83"
20,"4,35","7,23","4,77","6,75","6,21","6,12","5,38","6,84","5,48","5,72"
3,"6,24","8,06","8,53","8,06","7,18","9,24","8,12","9,24","8,06","8,07"
4,"3,95","7,38","6,95","6,29","4,81","7,43","7,10","6,62","5,48","5,90"
5,"7,18","8,57","8,21","8,54","6,64","8,14","8,82","8,25","8,18","8,11"
6,"6,13","8,73","7,67","7,73","5,67","8,13","8,40","7,93","7,40","7,48"
7,"6,68","7,58","7,84","6,68","5,32","7,26","7,42","6,58","7,26","7,09"
8,"6,46","9,00","6,77","6,77","4,77","7,38","7,38","7,77","7,69","7,37"
9,"5,56","9,07","6,37","7,67","6,26","8,74","7,41","8,85","7,70","7,60"
